Ингредиент,Единица измерения,Калорийность
Кукуруза консервированная или с/м,кг,57.2
Кукурузная крупа,кг,330.4
Кукурузные хлопья Corn Flakes,кг,398.1
Кулинарный жир,кг,899.1
Кумкват,кг,78.9
Кунжут (семена),кг,564.7
Кунжут обжаренный черный,кг,643.0
Кунжутная паста JNP,кг,680.7
Купаты Восточные с гранатом,кг,261.0
Купаты Говяжьи,кг,399.0
Купаты Кейптаун,кг,226.0
Купаты Классические,кг,375.0
Купаты Королевские,кг,367.0
Купаты Куриные с беконом,кг,158.4
Купаты Марроканские,кг,367.0
Купаты Ньюмаркет,кг,375.0
Купаты Тулузские свинина и говядина,кг,367.0
Купаты Французские,кг,167.0
Купаты бефстроганов,кг,363.0
Купаты итальянские острые,кг,367.0
Купаты куриные,кг,360.0
Купаты куриные с базиликом,кг,347.0
Купаты с/м,кг,261.0
Купаты свиные с моцареллой,кг,367.0
Купаты свиные с трюфелем,кг,371.0
Купаты чагос (харисса),кг,344.0
Курага (Абрикосы без косточки),кг,240.8
Куриная грудка копченая без кости,кг,137.0
Куриные кости, обрезь,кг,72.8
Куриные крылышки в панировке с/м,кг,197.9
Куры Грудка с костью, свежемороженная,кг,113.1
Куры Мышечный желудок (цыплят бройлеров),кг,122.0
Куры Мякоть без кости,кг,184.6
Куры Окорочка,кг,184.6
Куры Печень (цыплят бройлеров),кг,121.7
Куры Сердце,кг,159.1
Куры Филе грудки,кг,113.1
Куры Цыпленок,кг,241.2
Куры крылышки,кг,184.6
Куры целые (тушки 1 категории),кг,241.2
Кус кус,кг,358.0
Лаваш армянский, тонкий,кг,270.3
Лайм,кг,16.5
Лакедра (Желтохвост) филе с/м,кг,111.0
Лактат Кальция (Calcium lactate),кг,240.0
Лангустины с/м,кг,96.4
Лапша Соба,кг,362.4
Лапша Фунчеза,кг,338.4
Лапша гречневая,кг,348.5
Лапша из соевых бобов зеленая,кг,338.4
Лапша пшеничная Удон,кг,409.0
Лапша яичная,кг,409.0
Лед пищевой,кг,0.0
Лепешка Тортилья,кг,280.2
Лещ крупный и средний вяленый,кг,221.1
Лещ свежий неразделанный,кг,105.3
Ликер Амаретто,л,108.8
Ликер Бейлис,кг,229.0
Ликер Галлиано,л,97.6
Ликер Калуа,л,192.0
Ликер Кокосовый,л,80.0
Ликер Куантро,л,97.6
Ликер Мятный,л,131.2
Ликер Самбука,л,140.0
Ликер Сливочный,л,236.1
Ликер из плодов личи,л,131.2
Ликер фруктовый,л,131.2
Лимон,кг,16.5
Лимонад,кг,40.9
Личи плоды свежие,кг,61.7
Лосось консервированный в с/с,кг,153.4
Лосось свежий (филе с кожей),кг,179.8
Лосось слабосоленый (филе с кожей),кг,142.1
Лосось тушка потрошенная с головой,кг,179.8
Лосятина Мякоть,кг,104.9
Лук Сибулет (резанец),кг,19.2
Лук зеленый (перо),кг,19.2
Лук порей,кг,34.0
Лук репчатый,кг,42.0
Лук репчатый красный,кг,42.0
Лук шалот,кг,21.0
Луковые кольца в панировке,кг,238.5
Люля - кебаб мясной п/ф пром. производства,кг,362.6
Лягушачьи лапки (Китай),кг,64.0
Майонез Провансаль,кг,625.0
Майонез высокой жирности,кг,712.4
Мак (семена),кг,505.5
Макаронные изделия I сорта,кг,328.1
Макаронные изделия Лазанья,кг,330.3
Макаронные изделия высшего сорта,кг,330.3
Макароны Каннелоне (Италия),кг,330.3
Макароны Пенне (Италия),кг,330.3
Макароны Спагетти (Италия),кг,330.3
Макароны Спагетти с чернилами каракатицы (Италия),кг,330.3
Макароны Тальятелле (Италия),кг,330.3
Макароны Фетуччини,кг,330.3
Макароны Фузилли (Италия),кг,330.3
Малина,кг,39.1
Манго,кг,61.0
Манго консервированное (дольки),кг,61.0
Мандарин,кг,38.3
Манная крупа,кг,321.0
Маракуйя,кг,37.2
Маргарин жидкий Rama Comby Profi,кг,347.6
Маргарин сливочный,кг,743.2
Мармелад желейный формовой,кг,311.7
Марципан пром. производства,кг,405.9
Маслины без косточки консервированные,кг,174.7
Маслины с косточкой гигантские консервированные,кг,174.7
Маслины с косточкой консервированные,кг,174.7
Масло арахисовое нерафинированное,кг,828.0
Масло грецкого ореха нерафинированное,кг,828.0
Масло кунжутное нерафинированное,кг,828.0
Масло медовое,кг,885.6
Масло оливковое Extra Virgin,кг,828.0
Масло оливковое рафинированное,кг,899.1
Масло оливковое с ароматом трюфеля,кг,828.0
Масло подсолнечное нерафинированное,кг,828.0
Масло подсолнечное рафинированное,л,899.1
Масло сливочное несоленое,кг,747.7
Масло топленое,кг,885.6
Масло шоколадное,кг,638.4
Масляная рыба,кг,113.0
Масса творожная сладкая,кг,345.4
Мастика сахарная белая,кг,393.0
Маффин готовый замороженный,шт,444.6
Мед натуральный,кг,324.4
Медвежатина мякоть,кг,155.1
Мидии Киви,кг,36.4
Мидии в раковине,кг,49.9
Мидии вяленые,кг,271.0
Мидии копченые в масле,кг,318.5
Мидии очищенные с/м,кг,49.9
Микс Венский,кг,351.4
Минтай с/м разделанный обезглавленный,кг,71.7
Мирин,л,106.2
Мисо - паста,кг,152.3
Мицукан Уксус,л,200.0
Мойва с/м,кг,116.3
Моллюск рапана свежий,кг,76.7
Молоки рыбные (Кета),кг,76.0
Молоко пастеризованное 1,5% жирности,кг,44.0
Молоко пастеризованное 2,5% жирности,кг,52.7
Молоко пастеризованное 3,2% жирности,кг,58.8
Молоко пастеризованное 3,5% жирности,кг,61.4
Молоко сгущенное с сахаром,кг,329.3
Молоко сгущеное вареное,кг,329.3
Молоко сухое цельное,кг,479.0
Молочный коктейль Чудо,кг,67.2
Морковь корейская,кг,113.6
Морковь молодая с/м очищенная,кг,34.9
Морковь столовая свежая,кг,34.9
Мороженое Ваниль,кг,182.4
Мороженое Клубника,кг,182.4
Мороженое Пломбир,кг,231.0
Мороженое Пломбир крем-брюле,кг,239.0
Мороженое Шоколадное,кг,182.4
Мороженое Японское,кг,231.0
Мороженое сливочное,кг,182.4
Морс Ягодный,кг,31.6
Морская капуста,кг,5.4
Морской коктейль в соусе Condi scoglio,кг,109.1
Морской коктейль с/м,кг,87.5
Морской петушок,кг,96.3
Морской черт филе с/м,кг,83.5
Морской язык филе с/м,кг,83.1
Мука Пшеничная высшего сорта,кг,326.7
Мука Ржаная обдирная,кг,291.7
Мука кукурузная,кг,323.1
Мука пшеничная для пиццы (Италия),кг,326.7
Мука темпурная,кг,326.7
Муксун х/к,кг,271.0
Мюсли без сахара,кг,380.6
Мясной бульон Даши сухой,кг,239.0
Мясной набор,кг,466.2
Наггетсы Куриные в панировке,кг,250.8
Налим,кг,84.5
Нельма свежая филе,кг,88.0
Нерка вяленая (филе с кожей),кг,271.0
Нут,кг,304.7
Облепиха,кг,46.1
Овощная смесь с/м,кг,44.1
Овсянная крупа,кг,297.7
Овсяные хлопья Геркулес,кг,300.2
Огурцы,кг,14.5
Огурцы соленые,кг,10.5
Окорочка куриные копченые,кг,212.2
Окунь Изуми Тай филе,кг,70.1
Окунь свежий,кг,82.1
Оленина 1 категории,кг,154.5
Оленина сыровяленная,кг,146.0
Оливки консервированные,кг,174.7
Оливки фаршированные анчоусом,кг,174.7
Оливки фаршированные лососем,кг,174.7
Оливки фаршированные перцем,кг,174.7
Омар (Лобстер) варено-мороженный,кг,102.8
Омуль байкальский х/к,кг,271.0
Орех Арахис ядро,кг,611.8
Орех Бразильский ядро,кг,682.6
Орех Грецкий ядро,кг,688.5
Орех Кедровый ядро,кг,689.4
Орех Кешью ядро,кг,633.6
Орех Макадамия ядро,кг,749.2
Орех Миндаль ядро,кг,648.1
Орех Пекан ядро,кг,690.9
Орех Фисташки соленые поджаренные,кг,603.0
Орех Фундук ядро,кг,706.1
Осетр потрошенный с головой,кг,163.7
Осетр филе с кожей без хрящей,кг,163.7
Основа для супа Гара Тонкоцу,кг,200.7
Основа для супа Тонкоцу Торидол,кг,212.2
Осьминог,кг,109.8
Осьминоги беби,кг,109.8
Отруби,кг,309.8
Палтус филе с кожей без костей,кг,102.6
Панцирь Лобстера,кг,102.8
Панцирь креветки,кг,97.7
Панцирь рака,кг,89.0
Папайя,кг,38.1
Папоротник с/м,кг,44.0
Паста Карри,кг,102.6
Паста Кимчи,кг,95.9
Паста Кочудян Перцовая,кг,329.0
Паста Нутелла Шоколадная,кг,530.2
Паста Тахини (из кунжутного семени),кг,607.7
Пастернак (корень),кг,47.6
Пастила,кг,323.6
Пастрома из индейки,кг,94.2
Пахлава (Баклава) ореховая,кг,374.8
Пекарский порошок (разрыхлитель теста),кг,172.0
Пектин,кг,320.0
Пеленгас (кефаль) филе с/м,кг,83.5
Пельмени Гедза (п/ф пром. пр-ва),кг,194.8
Пельмени Гедза с креветками (п/ф пром. пр-ва),кг,220.5
Пельмени Равиолло,кг,261.7
Пельмени п/ф замороженные,кг,192.5
Перепелки,кг,230.1
Перец Халапеньо консервированный,кг,31.1
Перец болгарский (сладкий),кг,26.4
Перец маринованный,кг,31.1
